Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
goa-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortaBluepatternXL2_8cbf2f14-bd30-4b42-80b4-8c5b73a26a53.jpg?v=1761750377&width=1200,4,Goa Men's Shirt - Blue Pattern,,,,,,,,
goa-mens-shirt,,,,,,,,Colour,Blue Flower,,,,,KQ-goa-mens-shirt-blue-flower,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortablueflowerXL_144671d0-c2e5-45ed-ba60-c3551876f7f3.jpg?v=1761750376&width=1200,g,,,
goa-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortablueflowerXL_144671d0-c2e5-45ed-ba60-c3551876f7f3.jpg?v=1761750376&width=1200,5,Goa Men's Shirt - Blue Flower,,,,,,,,
goa-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortablueflowerXL2_acb651af-f8a8-4eb8-ad74-b2be34f6d9ef.jpg?v=1761750377&width=1200,6,Goa Men's Shirt - Blue Flower,,,,,,,,
goa-mens-shirt,,,,,,,,Colour,White Flower,,,,,KQ-goa-mens-shirt-white-flower,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortawhiteflowerondenimXL.jpg?v=1761750377&width=1200,g,,,
goa-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortawhiteflowerondenimXL.jpg?v=1761750377&width=1200,7,Goa Men's Shirt - White Flower,,,,,,,,
goa-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortawhiteflowerondenimXL2.jpg?v=1761750376&width=1200,8,Goa Men's Shirt - White Flower,,,,,,,,
goa-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortawhiteflowerondenimXL3.jpg?v=1761750377&width=1200,9,Goa Men's Shirt - White Flower,,,,,,,,
goa-mens-shirt,,,,,,,,Colour,Lilac Flower,,,,,KQ-goa-mens-shirt-lilac-flower,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortapurplefloweronwhiteXL.jpg?v=1761750377&width=1200,g,,,
goa-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/KeralaKortapurplefloweronwhiteXL.jpg?v=1761750377&width=1200,10,Goa Men's Shirt - Lilac Flower,,,,,,,,
